snapshot,timestamp,bad_tickers
2010-06-30,2010-06-04T10:00:00,NOW
2010-07-31,2010-06-04T10:00:00,NOW
2010-11-30,2010-10-01T10:00:00,UAL
2010-12-31,2010-12-09T10:00:00,AIG
2011-01-31,2010-12-09T10:00:00,AIG
2011-04-30,2011-04-28T10:00:00,VRTX
2011-04-30,2011-04-28T10:30:00,VRTX
2011-04-30,2011-04-28T11:00:00,VRTX
2011-04-30,2011-04-28T11:30:00,VRTX
2011-04-30,2011-04-28T12:00:00,VRTX
2011-04-30,2011-04-28T12:30:00,VRTX
2011-04-30,2011-04-28T13:00:00,VRTX
2011-04-30,2011-04-28T13:30:00,VRTX
2011-04-30,2011-04-28T14:00:00,VRTX
2011-04-30,2011-04-28T14:30:00,VRTX
2011-04-30,2011-04-28T15:00:00,VRTX
2011-04-30,2011-04-28T15:30:00,VRTX
2011-04-30,2011-04-28T16:00:00,VRTX
2011-05-31,2011-04-28T10:00:00,VRTX
2011-05-31,2011-04-28T10:30:00,VRTX
2011-05-31,2011-04-28T11:00:00,VRTX
2011-05-31,2011-04-28T11:30:00,VRTX
2011-05-31,2011-04-28T12:00:00,VRTX
2011-05-31,2011-04-28T12:30:00,VRTX
2011-05-31,2011-04-28T13:00:00,VRTX
2011-05-31,2011-04-28T13:30:00,VRTX
2011-05-31,2011-04-28T14:00:00,VRTX
2011-05-31,2011-04-28T14:30:00,VRTX
2011-05-31,2011-04-28T15:00:00,VRTX
2011-05-31,2011-04-28T15:30:00,VRTX
2011-05-31,2011-04-28T16:00:00,VRTX
2011-06-30,2011-06-17T10:00:00,REGN
2011-06-30,2011-06-17T10:30:00,REGN
2011-06-30,2011-06-17T11:00:00,REGN
2011-06-30,2011-06-17T11:30:00,REGN
2011-06-30,2011-06-17T12:00:00,REGN
2011-06-30,2011-06-17T12:30:00,REGN
2011-06-30,2011-06-17T13:00:00,REGN
2011-06-30,2011-06-17T13:30:00,REGN
2011-06-30,2011-06-17T14:00:00,REGN
2011-06-30,2011-06-17T14:30:00,REGN
2011-07-31,2011-06-17T10:00:00,REGN
2011-07-31,2011-06-17T10:30:00,REGN
2011-07-31,2011-06-17T11:00:00,REGN
2011-07-31,2011-06-17T11:30:00,REGN
2011-07-31,2011-06-17T12:00:00,REGN
2011-07-31,2011-06-17T12:30:00,REGN
2011-07-31,2011-06-17T13:00:00,REGN
2011-07-31,2011-06-17T13:30:00,REGN
2011-07-31,2011-06-17T14:00:00,REGN
2011-07-31,2011-06-17T14:30:00,REGN
2011-12-31,2011-11-30T10:00:00,TEL
2012-04-30,2012-04-02T10:00:00,GPN
2012-05-31,2012-04-02T10:00:00,GPN
2012-12-31,2012-12-06T10:00:00,ABMD
2012-12-31,2012-12-06T10:30:00,ABMD
2012-12-31,2012-12-06T11:00:00,ABMD
2012-12-31,2012-12-06T11:30:00,ABMD
2012-12-31,2012-12-06T12:00:00,ABMD
2012-12-31,2012-12-06T12:30:00,ABMD
2012-12-31,2012-12-06T13:00:00,ABMD
2012-12-31,2012-12-06T13:30:00,ABMD
2012-12-31,2012-12-06T14:00:00,ABMD
2012-12-31,2012-12-06T14:30:00,ABMD
2012-12-31,2012-12-06T15:00:00,ABMD
2012-12-31,2012-12-06T15:30:00,ABMD
2012-12-31,2012-12-06T16:00:00,ABMD
2013-01-31,2012-12-06T10:00:00,ABMD
2013-01-31,2012-12-06T10:30:00,ABMD
2013-01-31,2012-12-06T11:00:00,ABMD
2013-01-31,2012-12-06T11:30:00,ABMD
2013-01-31,2012-12-06T12:00:00,ABMD
2013-01-31,2012-12-06T12:30:00,ABMD
2013-01-31,2012-12-06T13:00:00,ABMD
2013-01-31,2012-12-06T13:30:00,ABMD
2013-01-31,2012-12-06T14:00:00,ABMD
2013-01-31,2012-12-06T14:30:00,ABMD
2013-01-31,2012-12-06T15:00:00,ABMD
2013-01-31,2012-12-06T15:30:00,ABMD
2013-01-31,2012-12-06T16:00:00,ABMD
2014-01-31,2014-01-09T10:00:00,TMUS
2014-02-28,2014-01-09T10:00:00,TMUS
2015-05-31,2015-05-12T10:00:00,VRTX
2015-05-31,2015-05-12T10:30:00,VRTX
2015-05-31,2015-05-12T11:00:00,VRTX
2015-05-31,2015-05-12T11:30:00,VRTX
2015-05-31,2015-05-12T12:00:00,VRTX
2015-05-31,2015-05-12T12:30:00,VRTX
2015-05-31,2015-05-12T13:00:00,VRTX
2015-05-31,2015-05-12T13:30:00,VRTX
2015-05-31,2015-05-12T14:00:00,VRTX
2015-05-31,2015-05-12T14:30:00,VRTX
2015-05-31,2015-05-12T15:00:00,VRTX
2015-05-31,2015-05-12T15:30:00,VRTX
2015-05-31,2015-05-12T16:00:00,VRTX
2015-06-30,2015-05-12T10:00:00,VRTX
2015-06-30,2015-05-12T10:30:00,VRTX
2015-06-30,2015-05-12T11:00:00,VRTX
2015-06-30,2015-05-12T11:30:00,VRTX
2015-06-30,2015-05-12T12:00:00,VRTX
2015-06-30,2015-05-12T12:30:00,VRTX
2015-06-30,2015-05-12T13:00:00,VRTX
2015-06-30,2015-05-12T13:30:00,VRTX
2015-06-30,2015-05-12T14:00:00,VRTX
2015-06-30,2015-05-12T14:30:00,VRTX
2015-06-30,2015-05-12T15:00:00,VRTX
2015-06-30,2015-05-12T15:30:00,VRTX
2015-06-30,2015-05-12T16:00:00,VRTX
2015-06-30,2015-06-09T10:00:00,REGN
2015-06-30,2015-06-09T10:30:00,REGN
2015-06-30,2015-06-09T11:00:00,REGN
2015-06-30,2015-06-09T11:30:00,REGN
2015-06-30,2015-06-09T12:00:00,REGN
2015-06-30,2015-06-09T12:30:00,REGN
2015-06-30,2015-06-09T13:00:00,REGN
2015-06-30,2015-06-09T13:30:00,REGN
2015-06-30,2015-06-09T14:00:00,REGN
2015-06-30,2015-06-09T14:30:00,REGN
2015-06-30,2015-06-09T15:00:00,REGN
2015-06-30,2015-06-09T15:30:00,REGN
2015-06-30,2015-06-09T16:00:00,REGN
2015-07-31,2015-06-09T10:00:00,REGN
2015-07-31,2015-06-09T10:30:00,REGN
2015-07-31,2015-06-09T11:00:00,REGN
2015-07-31,2015-06-09T11:30:00,REGN
2015-07-31,2015-06-09T12:00:00,REGN
2015-07-31,2015-06-09T12:30:00,REGN
2015-07-31,2015-06-09T13:00:00,REGN
2015-07-31,2015-06-09T13:30:00,REGN
2015-07-31,2015-06-09T14:00:00,REGN
2015-07-31,2015-06-09T14:30:00,REGN
2015-07-31,2015-06-09T15:00:00,REGN
2015-07-31,2015-06-09T15:30:00,REGN
2015-07-31,2015-06-09T16:00:00,REGN
2017-01-31,2017-01-04T10:00:00,HLT
2017-02-28,2017-01-04T10:00:00,HLT
2019-07-31,2019-07-02T10:00:00,INFO
2019-08-31,2019-07-02T10:00:00,INFO
2020-03-31,2020-03-02T10:00:00,IR
