ticker,first_month,last_month
CTL,2007-08-31,2020-08-31
HOG,2007-08-31,2021-12-31
CMCSA,2007-08-31,2021-06-30
PVH,2007-08-31,2021-12-31
ANSS,2007-08-31,2020-12-31
TAP,2007-08-31,2021-12-31
NOV,2007-08-31,2021-12-31
AAP,2007-08-31,2021-12-31
COG,2007-08-31,2021-09-30
EBAY,2007-08-31,2020-12-31
LMT,2007-08-31,2021-06-30
TGT,2007-08-31,2021-06-30
KSU,2007-08-31,2021-11-30
CI,2007-08-31,2021-06-30
LLY,2007-08-31,2021-06-30
IPGP,2007-08-31,2021-12-31
FRC,2007-08-31,2020-12-31
MKTX,2007-08-31,2021-12-31
XOM,2007-08-31,2021-06-30
ALB,2007-08-31,2021-12-31
FCX,2007-08-31,2020-12-31
XLE,2007-08-31,2021-12-31
HAL,2007-08-31,2020-12-31
RL,2007-08-31,2021-12-31
FISV,2007-08-31,2021-06-30
EQIX,2007-08-31,2021-12-31
MTD,2007-08-31,2020-12-31
TIF,2007-08-31,2020-12-31
ITW,2007-08-31,2021-12-31
MAR,2007-08-31,2021-12-31
CDNS,2007-08-31,2020-12-31
TSCO,2007-08-31,2021-12-31
AXP,2007-08-31,2021-06-30
CAT,2007-08-31,2021-06-30
O,2007-08-31,2020-12-31
AMAT,2007-08-31,2021-12-31
MXIM,2007-08-31,2021-07-31
SWK,2007-08-31,2020-12-31
BKR,2007-08-31,2021-12-31
MGM,2007-08-31,2021-12-31
MLM,2007-08-31,2021-12-31
PCAR,2007-08-31,2020-12-31
NVDA,2007-08-31,2021-06-30
FLT,2007-08-31,2020-11-30
BBY,2007-08-31,2020-12-31
OKE,2007-08-31,2021-12-31
EOG,2007-08-31,2021-12-31
TXT,2007-08-31,2021-12-31
MNST,2007-08-31,2020-12-31
APH,2007-08-31,2021-12-31
IDXX,2007-08-31,2020-12-31
DISCA,2007-08-31,2021-12-31
HAS,2007-08-31,2021-12-31
CHD,2007-08-31,2021-12-31
GIS,2007-08-31,2021-12-31
HIG,2007-08-31,2020-12-31
INTU,2007-08-31,2021-06-30
ALGN,2007-08-31,2020-12-31
SEE,2007-08-31,2021-12-31
WFC,2007-08-31,2021-06-30
IPG,2007-08-31,2021-12-31
CCL,2007-08-31,2020-12-31
DGX,2007-08-31,2021-12-31
LVS,2007-08-31,2020-12-31
SIVB,2007-08-31,2021-12-31
WMB,2007-08-31,2020-12-31
ABMD,2007-08-31,2021-12-31
MDT,2007-08-31,2021-06-30
PRU,2007-08-31,2021-12-31
GPN,2007-08-31,2021-12-31
BLL,2007-08-31,2020-12-31
DIS,2007-08-31,2021-06-30
UA,2007-08-31,2021-12-31
DLTR,2007-08-31,2020-12-31
VZ,2007-08-31,2021-06-30
FFIV,2007-08-31,2021-12-31
GPC,2007-08-31,2021-12-31
PLD,2007-08-31,2021-12-31
NWS,2007-08-31,2021-12-31
BA,2007-08-31,2021-06-30
DTE,2007-08-31,2020-12-31
EXR,2007-08-31,2021-12-31
ADP,2007-08-31,2021-06-30
SHW,2007-08-31,2021-12-31
ADS,2007-08-31,2021-12-31
CNC,2007-08-31,2020-11-30
PGR,2007-08-31,2021-12-31
AOS,2007-08-31,2021-12-31
PWR,2007-08-31,2021-12-31
GWW,2007-08-31,2021-12-31
IR,2007-08-31,2021-12-31
GPS,2007-08-31,2021-12-31
SBUX,2007-08-31,2021-06-30
CINF,2007-08-31,2021-12-31
CERN,2007-08-31,2020-12-31
XRX,2007-08-31,2021-12-31
WHR,2007-08-31,2021-12-31
GILD,2007-08-31,2021-06-30
DAL,2007-08-31,2021-12-31
PAYX,2007-08-31,2020-12-31
FE,2007-08-31,2020-11-30
ARE,2007-08-31,2021-12-31
GE,2007-08-31,2021-06-30
YUM,2007-08-31,2021-12-31
ALK,2007-08-31,2021-12-31
JPM,2007-08-31,2021-06-30
UDR,2007-08-31,2021-12-31
LH,2007-08-31,2021-12-31
CF,2007-08-31,2021-12-31
CVX,2007-08-31,2021-06-30
EMN,2007-08-31,2021-12-31
XRAY,2007-08-31,2021-12-31
AMT,2007-08-31,2021-06-30
CCI,2007-08-31,2021-06-30
EIX,2007-08-31,2020-10-31
ZION,2007-08-31,2021-12-31
IVZ,2007-08-31,2021-12-31
KR,2007-08-31,2020-12-31
CB,2007-08-31,2021-06-30
D,2007-08-31,2021-06-30
UNM,2007-08-31,2021-12-31
PKI,2007-08-31,2021-12-31
TDG,2007-08-31,2020-12-31
NWL,2007-08-31,2021-12-31
VAR,2007-08-31,2021-03-31
DD,2007-08-31,2019-12-31
STT,2007-08-31,2021-12-31
VFC,2007-08-31,2021-12-31
GLW,2007-08-31,2020-12-31
AGN,2007-08-31,2020-04-30
EFX,2007-08-31,2021-12-31
PEG,2007-08-31,2021-12-31
HOLX,2007-08-31,2021-12-31
BAC,2007-08-31,2021-06-30
RE,2007-08-31,2021-12-31
PEAK,2007-08-31,2021-12-31
VRSN,2007-08-31,2020-12-31
WM,2007-08-31,2021-12-31
HD,2007-08-31,2021-06-30
PHM,2007-08-31,2021-12-31
K,2007-08-31,2021-12-31
LEN,2007-08-31,2021-12-31
SLB,2007-08-31,2021-12-31
MKC,2007-08-31,2020-12-31
CSX,2007-08-31,2021-06-30
ETFC,2007-08-31,2020-09-30
USB,2007-08-31,2021-06-30
XEL,2007-08-31,2021-12-31
UTX,2007-08-31,2020-03-31
GOOG,2007-08-31,2021-06-30
WAT,2007-08-31,2021-12-31
AIV,2007-08-31,2021-12-31
AMP,2007-08-31,2020-12-31
CSCO,2007-08-31,2021-06-30
CTSH,2007-08-31,2021-12-31
A,2007-08-31,2020-12-31
CHTR,2007-08-31,2021-06-30
RMD,2007-08-31,2020-12-31
KEYS,2007-08-31,2020-12-31
FTI,2007-08-31,2021-12-31
CE,2007-08-31,2021-12-31
PKG,2007-08-31,2021-12-31
FDX,2007-08-31,2021-12-31
BXP,2007-08-31,2020-10-31
WY,2007-08-31,2020-12-31
TFX,2007-08-31,2021-12-31
