,longitude,latitude
0,-0.132102,51.4981
1,-0.205991,51.5014
2,-0.176268,51.5248
3,-0.005659,51.5135
4,-0.125978,51.4976
5,-0.197246,51.4974
6,-0.167029,51.4603
7,-0.026768,51.5204
8,-0.0602918,51.5357
9,-0.210941,51.5042
10,-0.209973,51.481
11,-0.144466,51.5283
12,-0.163348,51.4744
13,-0.122807,51.4904
14,-0.047784,51.5133
15,-0.158456,51.503
16,-0.118256789,51.47659006
17,-0.140741,51.4881
18,-0.0973402,51.5208
19,-0.150908,51.4751
20,-0.202609,51.5163
21,-0.204764,51.519
22,-0.142952,51.496858
23,-0.184806,51.458
24,-0.022793,51.4973
25,-0.118295,51.5273
26,-0.055731,51.5198
27,-0.037471,51.5282
28,-0.0105106,51.5409
29,-0.117496,51.4982
30,-0.195456,51.5004
31,-0.145246,51.54
32,-0.0971465,51.4912
33,-0.152249,51.4672
34,-0.140948,51.4962
35,-0.117662,51.4827
36,-0.038775,51.516
37,-0.155443,51.4744
38,-0.0490672,51.5156
39,-0.225787,51.5148
40,-0.156167,51.5189
41,-0.0885428,51.527
42,-0.047218,51.526
43,-0.0875874,51.5144
44,-0.100186,51.5058
45,-0.0921764,51.52
46,-0.215087,51.4902
47,-0.0908478,51.5259
48,-0.174347,51.477
49,-0.141771,51.4795
50,-0.147702349,51.48351589
51,-0.132053,51.5186
52,-0.110699,51.5014
53,-0.174293,51.5118
54,-0.151359,51.522
55,-0.128378,51.5237
56,-0.0702303,51.5367
57,-0.144133,51.4932
58,-0.152318,51.4994
59,-0.123617,51.5299
60,-0.075855,51.5175
61,-0.165843,51.522
62,-0.114686,51.5061
63,-0.081608,51.4978556
64,-0.081608,51.4979
65,-0.0999941,51.5229
66,-0.222456,51.4881
67,-0.055312,51.5257
68,-0.0747549,51.5236
69,-0.208617281,51.52113388
70,-0.122832,51.4725
71,-0.122299,51.5302
72,-0.21475,51.473
73,-0.18377,51.5171
74,-0.18697,51.5162
75,-0.187843,51.5099
76,-0.116912,51.4909
77,-0.104541,51.5055
78,-0.1030789,51.511934
79,-0.208565,51.5151
80,-0.221792,51.4997
81,-0.143614,51.5235
82,-0.0495918,51.53341
83,-0.138853,51.5416
84,-0.0945243,51.5007
85,-0.100441,51.4989
86,-0.162298,51.5225
87,-0.123248,51.5049
88,-0.107928,51.5138
89,-0.018703,51.5282
90,-0.025296,51.5271
91,-0.0735377,51.5142
92,-0.190394,51.4902
93,-0.111778,51.5159
94,-0.071654,51.5226
95,-0.0858145,51.4951
96,-0.229117,51.4921
97,-0.124678,51.5191
98,-0.144229,51.5181
99,-0.165669,51.5246
100,-0.135581,51.5137
101,-0.013258,51.5288
102,-0.215805,51.4943
103,-0.199136,51.4684
104,-0.122502,51.524
105,-0.079249,51.5189
106,-0.144165,51.5107
107,-0.137425,51.4989
108,-0.0898879,51.5209
109,-0.029138,51.5162
110,-0.12335,51.5175
111,-0.135441,51.4978
112,-0.068856,51.5218
113,-0.0289416,51.5421
114,-0.159919,51.4925
115,-0.158106,51.4946
116,-0.116493,51.4778
117,-0.11707,51.5314
118,-0.199004,51.5066
119,-0.025626,51.5118
120,-0.022694,51.5216
121,-0.112753,51.515
122,-0.116191,51.5355
123,-0.125979,51.5264
124,-0.145393,51.5421
125,-0.0678275,51.5168
126,-0.054883,51.5226
127,-0.106408,51.5305
128,-0.111257,51.5143
129,-0.147204,51.5153
130,-0.217996,51.4873
131,-0.168074,51.5343
132,-0.131961,51.5084
133,-0.135777,51.5195
134,-0.112721,51.5364
135,-0.0929403,51.514
136,-0.149004,51.4858
137,-0.166485,51.4907
138,-0.201555,51.5121
139,-0.065076,51.5239
140,-0.205876,51.4757
141,-0.014438,51.5112
142,-0.064094,51.5131
143,-0.0846057,51.5213
144,-0.100168,51.5303
145,-0.159322,51.4613
146,-0.123670736,51.47143307
147,-0.109915,51.5317
148,-0.126994,51.4707
149,-0.211594,51.5132
150,-0.145827,51.5073
151,-0.059091,51.5287
152,-0.138089,51.4848
153,-0.110121,51.4881
154,-0.104709,51.5233
155,-0.183119,51.5156
156,-0.051394,51.5209
157,-0.179593,51.5256
158,-0.083067,51.5232
159,-0.036017,51.5259
160,-0.109025,51.5344
161,-0.216493,51.4911
162,-0.186754,51.4916
163,-0.105692,51.5055
164,-0.075375,51.5282
165,-0.0755789,51.5213
166,-0.115851,51.505
167,-0.202039,51.4836
168,-0.0195248,51.5448
169,-0.12641,51.524
170,-0.106324,51.4908
171,-0.132103,51.4729
172,-0.219346,51.4829
173,-0.111481,51.479593
174,-0.126021,51.5081
175,-0.157184,51.5203
176,-0.122203,51.5345
177,-0.226606,51.4881
178,-0.119559,51.5283
179,-0.0771213,51.5116
180,-0.15785,51.4711
181,-0.0741892,51.5023
182,-0.145904,51.5071
183,-0.172078,51.4826
184,-0.184981,51.5017
185,-0.165101,51.4936
186,-0.191462,51.5014
187,-0.015578,51.5251
188,-0.0796846,51.5165
189,-0.17977,51.5135
190,-0.0939135,51.4968
191,-0.216146,51.4616
192,-0.0671764,51.5084
193,-0.102996,51.4869
194,-0.13225,51.5288
195,-0.163751,51.4651
196,-0.161113,51.5226
197,-0.179369,51.4872
198,-0.037366,51.5341
199,-0.135273,51.5277
200,-0.12222,51.5148
201,-0.087263,51.5063
202,-0.0758857,51.5366
203,-0.0655503,51.5287
204,-0.09315,51.5336
205,-0.128585,51.5161
206,-0.014409,51.4945
207,-0.002275,51.5095
208,-0.0874594,51.5287
209,-0.00993526,51.5463
210,-0.179135,51.5164
211,-0.153934,51.4946
212,-0.150905,51.4965
213,-0.149186,51.4905
214,-0.147624,51.494
215,-0.169774,51.52
216,-0.193254,51.4763
217,-0.147479,51.4924
218,-0.207843,51.4711
219,-0.119048,51.5096
220,-0.185297,51.4954
221,-0.0897408,51.5008
222,-0.130504,51.5268
223,-0.195777,51.4795
224,-0.211469,51.4623
225,-0.164786,51.4773
226,-0.134408,51.5262
227,-0.134849,51.5276
228,-0.216306,51.4834
229,-0.136793,51.533
230,-0.21819,51.5115
231,-0.1736896,51.495947
232,-0.169821,51.4666
233,-0.0785054,51.531
234,-0.0833533,51.5295
235,-0.14745,51.5094
236,-0.10834,51.5235
237,-0.1049478,51.516785
238,-0.0734389,51.5184
239,-0.174486,51.4692
240,-0.215619,51.4648
241,-0.115795,51.464016
242,-0.215896,51.4769
243,-0.0586315,51.5246
244,-0.0866855,51.5171
245,-0.0963176,51.526
246,-0.104298,51.5267
247,-0.0856342,51.521
248,-0.121394,51.4937
249,-0.02296,51.5062
250,-0.0389866,51.5129
251,-0.166879,51.488
252,-0.140486,51.5192
253,-0.033085,51.5325
254,-0.0914017,51.518093
255,-0.090075,51.5178
256,-0.074431,51.5194
257,-0.175116,51.5234
258,-0.219487,51.513
259,-0.131214,51.5131
260,-0.194117,51.4799
261,-0.20782,51.4735
262,-0.021345,51.5193
263,-0.055167,51.5084
264,-0.147857,51.477966
265,-0.104193,51.496
266,-0.15825,51.5169
267,-0.154106,51.5177
268,-0.106001,51.4961
269,-0.047548,51.5289
270,-0.147154,51.5373
271,-0.183289,51.4965
272,-0.183835,51.4979
273,-0.182671,51.4942
274,-0.139625,51.491
275,-0.188099,51.5179
276,-0.0991414,51.5125
